RISC-V Core AXI Test Log
Simulation Start:                    0

Cycle      0: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle    254: PC=0x00000064, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    254: PC=0x00000064, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    258: PC=0x00000064, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    258: PC=0x00000064, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    262: PC=0x00000064, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    262: PC=0x00000068, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    266: PC=0x00000068, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    266: PC=0x00000068, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    270: PC=0x00000068, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    270: PC=0x00000068, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    274: PC=0x0000006c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    274: PC=0x0000006c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    278: PC=0x0000006c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    278: PC=0x0000006c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    282: PC=0x0000006c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    282: PC=0x00000070, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    286: PC=0x00000070, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    286: PC=0x00000070, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    290: PC=0x00000070, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    290: PC=0x00000070, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    294: PC=0x00000074, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    294: PC=0x00000074, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    298: PC=0x00000074, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    298: PC=0x00000074, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    302: PC=0x00000074, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    302: PC=0x00000078, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    306: PC=0x00000078, Instr=0x00000000, ALU=0x00000000, Stall=1
